,name,surname,salary
320,Roger,Cave,3000
321,Roger,Goodman,6750
322,Xico,Goodman,3000
323,Xico,Goodman,5250
324,Mike,Red,4500
325,Roger,Cave,4500
326,John,Goodman,4500
327,Mike,Red,4500
328,Henry,White,6750
329,Roger,Goodman,4500
330,Xico,Cave,4250
331,John,Feynman,3000
332,Xico,Feynman,5250
333,Henry,White,3000
334,Henry,Cave,4500
335,Xico,Red,4250
336,John,White,4500
337,John,Feynman,4500
338,Mike,Cave,6750
339,Henry,Red,5750
340,Roger,Feynman,3000
341,Mike,Feynman,6750
342,Henry,White,3750
343,Mike,Goodman,4500
344,Xico,Cave,4500
345,Mike,Cave,6750
346,Henry,White,3000
347,Henry,Goodman,4500
348,Roger,Red,3750
349,John,Feynman,3750
350,Mike,Red,5250
351,John,Cave,3750
352,Henry,White,5750
353,Mike,Feynman,3000
354,Roger,Goodman,4500
355,Henry,Red,4500
356,Xico,White,3000
357,Xico,Red,3000
358,John,White,5750
359,Mike,Feynman,3000
360,Roger,Feynman,4250
361,Xico,White,3000
362,Mike,Goodman,3000
363,Mike,Red,4500
364,John,White,4500
365,Mike,Cave,4500
366,Xico,Feynman,5750
367,Roger,Cave,4500
368,Xico,White,3000
369,John,White,3750
370,Henry,Cave,5750
371,Xico,Cave,6750
372,John,Cave,3750
373,Roger,Cave,4250
374,Henry,Feynman,4500
375,Xico,Red,5750
376,Xico,Red,3000
377,John,Red,4500
378,Xico,White,5750
379,Roger,Feynman,4250
380,Henry,Feynman,6750
381,John,Feynman,4250
382,Roger,Red,4500
383,Roger,Red,4500
384,John,White,3000
385,Roger,Cave,4500
386,Henry,Cave,5750
387,Henry,Goodman,6750
388,Henry,Goodman,3000
389,Henry,Feynman,4500
390,John,Goodman,5750
391,John,Feynman,4250
392,Henry,Goodman,5750
393,Roger,Feynman,3000
394,Mike,White,6750
395,Xico,Goodman,4500
396,Mike,Red,4250
397,Roger,Goodman,5750
398,Mike,Cave,5750
399,Henry,Cave,5750
400,Mike,Feynman,3000
401,Mike,Red,4250
402,Roger,Red,4500
403,Mike,Goodman,3750
404,Mike,Goodman,6750
405,Henry,White,3750
406,Roger,Red,6750
407,Henry,Feynman,5750
408,Xico,Red,5250
409,Roger,Cave,4500
410,Henry,Feynman,3000
411,Xico,White,5750
412,Roger,Goodman,3000
413,Xico,Cave,5750
414,Roger,Feynman,6750
415,John,Red,5750
416,Henry,Goodman,6750
417,Xico,White,5750
418,Roger,White,3000
419,Henry,Feynman,4500
420,Xico,Cave,3000
421,Roger,Cave,4500
422,Roger,Cave,4500
423,Mike,White,5250
424,Xico,White,4500
425,Xico,Cave,3000
426,Xico,Goodman,3000
427,Roger,Feynman,4500
428,Henry,Goodman,5250
429,John,Red,3000
430,Mike,Goodman,3000
431,Xico,Goodman,5250
432,John,Feynman,4500
433,Henry,Cave,4500
434,Xico,Goodman,4250
435,Roger,Goodman,5750
436,Roger,Cave,4250
437,Xico,Goodman,6750
438,Mike,White,3000
439,Henry,Red,4500
440,Mike,White,4250
441,Mike,Goodman,6750
442,Roger,White,3750
443,Roger,Goodman,3000
444,Henry,Feynman,3750
445,Henry,Feynman,3750
446,Mike,Cave,3000
447,Xico,Goodman,5750
448,John,Goodman,4250
449,Roger,Red,3750
450,John,Goodman,4500
451,Xico,Goodman,6750
452,John,Goodman,3000
453,Mike,Feynman,5750
454,Xico,White,5250
455,Xico,Cave,4250
456,John,White,6750
457,John,Cave,3000
458,Xico,Cave,4250
459,Xico,Cave,4500
460,Henry,Goodman,4500
461,John,White,4250
462,Xico,Goodman,4250
463,Roger,Goodman,4250
464,Mike,White,5750
465,John,Goodman,5750
466,John,Feynman,3000
467,Mike,Red,3000
468,Mike,Cave,4500
469,Henry,White,4500
470,John,White,4500
471,Roger,Red,5750
472,Mike,Red,5750
473,Mike,Cave,5750
474,John,Cave,5250
475,John,Cave,3000
476,Xico,Goodman,4500
477,Henry,Goodman,4250
478,Henry,Cave,3000
479,Roger,Goodman,3750
480,Henry,Cave,4250
481,John,Feynman,4500
482,John,White,5750
483,Xico,White,5250
484,John,White,4500
485,Roger,Feynman,3000
486,Roger,White,4500
487,Xico,Red,4500
488,Mike,Red,4500
489,Xico,Red,5750
490,Henry,Goodman,3000
491,Roger,White,3750
492,Henry,Feynman,3000
493,John,Red,3000
494,John,Feynman,5250
495,Mike,Cave,5250
496,John,White,3000
497,John,Goodman,6750
498,Roger,Cave,4500
499,Mike,Goodman,3750
500,Mike,Cave,3000
501,Roger,Cave,4500
502,Roger,Cave,6750
503,Xico,Cave,5750
504,Henry,White,3750
505,Mike,Feynman,4250
506,Mike,Feynman,4500
507,Xico,White,4500
508,Roger,Cave,3000
509,John,Feynman,4500
510,Xico,Red,5250
511,Roger,White,6750
512,Xico,Red,3750
513,Xico,Goodman,6750
514,Henry,Feynman,5750
515,Mike,Cave,3750
516,Mike,Feynman,5750
517,Xico,Cave,4500
518,Xico,White,3750
519,Mike,Cave,6750
520,John,White,3750
521,Henry,Red,3000
522,John,White,4250
523,Mike,Cave,4500
524,John,Cave,4250
525,Mike,Goodman,5750
526,John,White,4500
527,Mike,Cave,3000
528,Roger,Goodman,6750
529,Henry,Red,3750
530,Henry,Feynman,3000
531,Xico,Goodman,5750
532,Xico,White,3000
533,Mike,Cave,6750
534,Roger,White,5750
535,Xico,White,3750
536,Mike,Cave,4500
537,John,Goodman,4500
538,Mike,White,5750
539,Henry,White,3000
540,Roger,Cave,3750
541,Roger,Cave,4250
542,Xico,Cave,6750
543,Mike,White,3000
544,Roger,White,5750
545,John,Red,6750
546,John,Feynman,6750
547,Xico,Cave,3000
548,Mike,Red,3000
549,Roger,Feynman,3750
550,Mike,Red,5750
551,Roger,Red,3000
552,Xico,Feynman,5750
553,John,Feynman,3000
554,Mike,White,4500
555,Henry,Red,5750
556,Mike,Cave,6750
557,Henry,White,3000
558,Henry,White,5250
559,Henry,Goodman,4250
560,John,White,5750
561,Mike,Goodman,5750
562,Xico,Goodman,4500
563,Xico,Goodman,6750
564,Roger,Cave,5750
565,John,Goodman,5750
566,John,White,5250
567,John,Goodman,6750
568,Mike,Goodman,4500
569,Xico,White,5750
570,Mike,Feynman,3750
571,Xico,Goodman,3750
572,Roger,Cave,5250
573,John,Red,4250
574,Xico,Red,5750
575,Henry,Red,5250
576,Henry,Feynman,3000
577,John,Goodman,3750
578,Xico,Cave,5750
579,Roger,Cave,4500
580,Xico,Red,5750
581,Mike,Red,4500
582,Henry,White,5250
583,Roger,White,6750
584,Henry,Goodman,4500
585,John,Cave,3750
586,John,Feynman,5750
587,Roger,Red,4500
588,Mike,Feynman,6750
589,Xico,Cave,6750
590,Roger,Cave,3750
591,Henry,Cave,4500
592,Xico,Goodman,5250
593,Mike,Feynman,4500
594,Mike,Cave,3750
595,Xico,Red,5250
596,Roger,Red,6750
597,John,Feynman,4500
598,Mike,Cave,3000
599,Xico,Feynman,4250
600,Roger,Feynman,4500
601,John,Red,5250
602,Mike,Goodman,5250
603,John,Cave,4500
604,Henry,White,4500
605,Roger,Feynman,4250
606,Henry,Cave,4500
607,Roger,Red,3000
608,Xico,Feynman,4500
609,Mike,Goodman,3000
610,Xico,White,4500
611,Roger,Cave,4500
612,Roger,Goodman,3750
613,Mike,Goodman,5250
614,Xico,Cave,3000
615,John,Goodman,4250
616,Roger,Goodman,4500
617,Henry,Goodman,5750
618,Henry,Cave,3750
619,Mike,White,4250
620,Henry,White,5750
621,Henry,White,5750
622,Xico,White,4500
623,Xico,Red,3750
624,Xico,Red,3000
625,Xico,White,4500
626,John,Red,5750
627,Mike,Feynman,4500
628,Xico,Cave,5250
629,Henry,White,3000
630,John,Cave,5750
631,John,Goodman,3000
632,Xico,White,6750
633,Henry,Cave,3000
634,Henry,Red,4500
635,Mike,Goodman,4250
636,Mike,Cave,6750
637,Henry,White,3000
638,Xico,Red,4500
639,Henry,Goodman,5250
640,Xico,Feynman,4500
641,John,Red,3000
642,Xico,Goodman,6750
643,Henry,Red,6750
644,Henry,Goodman,6750
645,Xico,Red,5750
646,John,White,6750
647,John,White,6750
648,Henry,Red,5750
649,John,Red,5250
650,Roger,Goodman,3000
651,John,Feynman,6750
652,Mike,Cave,5750
653,Mike,White,4250
654,Xico,Cave,4500
655,Henry,White,5750
656,Mike,Feynman,3750
657,Roger,White,3000
658,Mike,White,3750
659,Henry,Red,3000
660,Roger,Goodman,5250
661,Roger,Goodman,3750
662,John,Cave,6750
663,Roger,White,3750
664,Roger,Cave,5750
665,Roger,Feynman,6750
666,Mike,Red,4500
667,Xico,Cave,5750
668,John,Feynman,3000
669,Henry,Red,5250
670,Henry,Goodman,5750
671,Xico,Goodman,4250
672,Mike,Feynman,4250
673,Xico,Feynman,3000
674,Xico,Goodman,3000
675,John,Cave,6750
676,Mike,White,3750
677,Mike,Red,4500
678,Xico,White,3000
679,Roger,Red,4500
680,John,White,6750
681,John,Goodman,5750
682,Roger,Cave,3000
683,Xico,White,4500
684,Henry,Feynman,3000
685,John,Red,3000
686,Mike,Goodman,3000
687,John,Feynman,5250
688,Xico,Goodman,5750
689,Henry,Goodman,5250
690,Henry,Feynman,3750
691,Xico,Goodman,3750
692,Roger,Feynman,5250
693,Henry,Goodman,3750
694,Xico,Feynman,5750
695,Roger,Goodman,4500
696,Mike,White,3750
697,Roger,White,4500
698,Xico,Red,4500
699,Mike,Red,4500
700,Henry,Feynman,4500
701,John,Red,4500
702,Henry,Red,3750
703,Mike,Feynman,4500
704,Mike,Red,6750
705,Mike,Feynman,5250
706,Xico,White,6750
707,John,Goodman,4500
708,Roger,Red,6750
709,Henry,White,5750
710,Mike,Red,3000
711,Henry,White,3000
712,Xico,Red,6750
713,Henry,Goodman,4500
714,Henry,White,3750
715,Mike,Goodman,5750
716,Mike,Goodman,4500
717,Roger,Cave,6750
718,Henry,White,3000
719,John,Red,4500
720,Roger,Red,5250
721,Roger,White,5250
722,Roger,White,6750
723,Henry,Feynman,4500
724,Xico,Red,6750
725,Roger,Cave,4500
726,Roger,Feynman,5750
727,Henry,Red,5750
728,Xico,White,4500
729,Henry,White,6750
730,Henry,Cave,4500
731,Henry,White,5750
732,Xico,Red,5250
733,Henry,Goodman,5250
734,Xico,Red,5750
735,Roger,Cave,4500
736,Henry,Goodman,3000
737,Henry,Goodman,4500
738,Xico,Goodman,4250
739,John,White,4500
740,Mike,Feynman,3750
741,John,White,4500
742,John,Cave,6750
743,Roger,Red,3000
744,Mike,Feynman,4500
745,Mike,Red,5250
746,Mike,Cave,5750
747,John,White,4500
748,Henry,Goodman,5750
749,Henry,Cave,3750
750,John,White,6750
751,Xico,White,4250
752,Henry,White,3750
753,Mike,Feynman,4500
754,Roger,Red,4500
755,Xico,Cave,4500
756,Henry,White,6750
757,Mike,White,5250
758,Xico,Cave,4500
759,Mike,Feynman,4500
760,Mike,Cave,4500
761,Roger,White,3000
762,Xico,White,4500
763,John,Feynman,5250
764,Roger,Feynman,4500
765,Roger,Cave,6750
766,Xico,Feynman,4500
767,Roger,Feynman,5750
768,Henry,Feynman,4500
769,Xico,Red,6750
770,Xico,Feynman,3750
771,John,Feynman,4500
772,Roger,Goodman,5750
773,Roger,Goodman,5250
774,Roger,Goodman,3000
775,Mike,Goodman,3000
776,John,Goodman,6750
777,Mike,Goodman,5750
778,Xico,White,5750
779,Xico,Goodman,5750
780,Henry,Red,5750
781,Henry,Cave,4500
782,Xico,White,4250
783,Mike,White,3750
784,John,Goodman,3000
785,John,Goodman,4500
786,Xico,Feynman,3750
787,Roger,Feynman,3000
788,John,Cave,4250
789,Roger,White,4250
790,Roger,Feynman,5750
791,Henry,Red,3000
792,Xico,White,3000
793,Roger,White,4500
794,Henry,Feynman,3750
795,Roger,Feynman,4250
796,John,Cave,4500
797,Roger,Goodman,3000
798,Xico,Cave,5750
799,Henry,Cave,3000
800,Xico,Goodman,5750
801,Mike,Goodman,5750
802,Xico,Red,4500
803,Henry,Feynman,5750
804,John,White,3000
805,John,White,4500
806,Xico,Cave,4250
807,Mike,Cave,5750
808,Henry,Feynman,5750
809,John,Feynman,4500
810,John,Goodman,3000
811,Henry,Feynman,4500
812,Henry,Cave,5750
813,Roger,White,4500
814,Henry,Red,5250
815,Xico,Goodman,4500
816,Xico,White,3750
817,John,Red,4500
818,Henry,Goodman,5750
819,Henry,Red,3000
820,Mike,Feynman,6750
821,Henry,Feynman,3000
822,John,White,3750
823,Henry,Red,4500
824,Henry,Red,6750
825,Henry,White,4250
826,Roger,White,4250
827,Roger,White,6750
828,John,Goodman,3000
829,John,White,5750
830,Roger,Feynman,5250
831,Roger,White,3000
832,Henry,Red,3750
833,Henry,Red,5750
834,Xico,Goodman,3750
835,Henry,Cave,4500
836,Mike,Red,4250
837,Henry,Feynman,4250
838,Mike,White,4500
839,Mike,Goodman,4250
840,Xico,Feynman,4250
841,Roger,White,4250
842,Henry,Cave,3750
843,Henry,Feynman,5750
844,Roger,Cave,3000
845,Mike,Red,3750
846,Henry,Feynman,4250
847,Henry,Goodman,6750
848,John,Cave,4500
849,Henry,White,5750
850,Mike,Feynman,4250
851,Roger,Goodman,5750
852,Mike,Feynman,3750
853,Roger,Cave,5750
854,Xico,Red,5750
855,Xico,Goodman,3000
856,John,Red,3000
857,Roger,White,6750
858,Mike,Red,5750
859,Xico,Feynman,5250
860,Mike,Red,4500
861,Xico,Feynman,4250
862,Henry,Goodman,5750
863,John,White,4500
864,Roger,Feynman,4500
865,John,Feynman,4500
866,Mike,Red,3750
867,Mike,Feynman,5250
868,Henry,White,3000
869,Mike,White,5750
870,Xico,Goodman,3750
871,Roger,Red,4500
872,John,Cave,5250
873,Henry,Feynman,6750
874,Henry,Cave,5750
875,Xico,Cave,4250
876,Mike,White,3000
877,Mike,Goodman,3000
878,Henry,Goodman,6750
879,Roger,White,4500
880,Henry,Cave,5750
881,Mike,Goodman,5750
882,Roger,Goodman,3000
883,Xico,Red,6750
884,Roger,White,5750
885,Roger,White,4500
886,John,Red,5250
887,Roger,Red,5750
888,Mike,White,3000
889,John,Red,6750
890,Roger,White,4500
891,Xico,White,5750
892,Xico,Goodman,6750
893,Henry,Goodman,5750
894,Xico,White,3000
895,Mike,Feynman,4500
896,Mike,White,3750
897,Henry,Red,4500
898,Roger,Feynman,5750
899,Mike,Feynman,3000
900,Mike,Feynman,3000
901,Roger,Feynman,4250
902,Henry,Feynman,4500
903,Henry,Feynman,5750
904,Mike,Feynman,3000
905,Xico,Feynman,3750
906,Mike,Red,3750
907,Henry,Red,3750
908,Mike,Red,4500
909,Roger,Red,4250
910,Roger,Goodman,3750
911,Roger,Red,5250
912,Henry,Feynman,3000
913,Xico,Goodman,4250
914,Henry,Feynman,6750
915,Roger,Cave,4500
916,Mike,Red,6750
917,Roger,Cave,5250
918,Xico,Cave,5750
919,Henry,Red,3000
920,Henry,Cave,5250
921,Henry,Cave,3000
922,Mike,Cave,4500
923,Henry,White,5750
924,Roger,White,4500
925,John,White,3750
926,Xico,White,4500
927,Henry,White,5250
928,John,Cave,3000
929,Henry,Goodman,4250
930,Henry,Goodman,4500
931,Henry,Feynman,6750
932,John,Feynman,5750
933,Roger,Red,4250
934,Xico,Goodman,3000
935,Mike,Red,5750
936,John,White,5250
937,Roger,Goodman,3000
938,Roger,Red,6750
939,Xico,Red,5750
940,Mike,White,4250
941,John,Feynman,5750
942,Xico,Red,4500
943,Henry,Goodman,3000
944,Xico,Goodman,6750
945,Roger,White,5750
946,Mike,Goodman,3750
947,Roger,White,3750
948,Henry,Cave,5250
949,Xico,Goodman,3000
950,John,Cave,3750
951,John,Cave,3750
952,John,Goodman,5750
953,John,Goodman,5750
954,Henry,Cave,4500
955,Mike,Cave,3000
956,Henry,White,3000
957,Roger,White,4500
958,Roger,Red,3750
959,John,Goodman,5750
960,Mike,Cave,3000
961,Xico,Feynman,3000
962,Xico,Red,3750
963,Mike,White,6750
964,Mike,Cave,4500
965,Mike,Feynman,3000
966,Roger,Cave,3000
967,John,Cave,3000
968,Roger,Goodman,6750
969,Roger,Cave,5750
970,Xico,Cave,3000
971,Xico,Feynman,4500
972,Henry,Goodman,5250
973,Henry,White,3000
974,Roger,Cave,4500
975,Roger,White,4500
976,Xico,Cave,6750
977,Henry,Cave,3000
978,Xico,Cave,3750
979,Roger,White,5250
980,Henry,Feynman,5750
981,Mike,Cave,3000
982,John,Red,4500
983,John,Cave,3000
984,Roger,Feynman,5750
985,Roger,Goodman,3000
986,Henry,Feynman,5250
987,Henry,White,4500
988,Xico,Cave,4500
989,John,Red,4500
990,Xico,White,6750
991,Henry,Cave,5750
992,Mike,Red,6750
993,John,Cave,4500
994,Roger,Cave,5250
995,Roger,White,4500
996,Mike,Red,3750
997,Henry,Red,3750
998,Henry,Goodman,3000
999,Mike,Feynman,4500
1000,Mike,Red,3750
1001,Henry,Goodman,5250
1002,Henry,Goodman,4250
1003,Xico,Feynman,4500
1004,John,Goodman,6750
1005,John,Red,5250
1006,John,Goodman,3000
1007,Mike,Goodman,4250
1008,Henry,Cave,4500
1009,Xico,Feynman,5750
1010,Mike,Red,5750
1011,Henry,Goodman,5750
1012,Mike,White,5750
1013,Xico,Goodman,3750
1014,Xico,Cave,5250
1015,Xico,Feynman,3750
1016,Roger,Red,5750
1017,Roger,Feynman,4500
1018,Xico,Red,4500
1019,Xico,Goodman,3000
1020,Roger,Feynman,5750
1021,Mike,Goodman,5750
1022,Henry,Feynman,5750
1023,John,Goodman,4500
1024,John,Goodman,5750
1025,Mike,Goodman,3000
1026,John,Goodman,6750
1027,Roger,Cave,4500
1028,Roger,Red,5750
1029,Mike,Goodman,5750
1030,Roger,Cave,4500
1031,Mike,Cave,3000
1032,John,Red,4250
1033,Mike,Goodman,3750
1034,Mike,White,4500
1035,Henry,Cave,3750
1036,Mike,Goodman,3750
1037,Mike,Cave,5750
1038,Xico,Cave,6750
1039,Henry,Feynman,4500
1040,John,Feynman,3000
1041,John,Cave,3750
1042,John,Cave,5250
1043,John,Feynman,3000
1044,Xico,White,5250
1045,Mike,Feynman,6750
1046,Roger,White,5750
1047,Henry,White,3750
1048,Henry,Cave,6750
1049,Henry,Feynman,5750
1050,John,White,3750
1051,Henry,Cave,5250
1052,Henry,Feynman,3000
1053,John,White,5250
1054,Xico,Cave,3750
1055,John,Cave,5750
1056,Henry,Goodman,5750
1057,Roger,Cave,3000
1058,Roger,Red,4250
1059,John,Feynman,5750
1060,Roger,Feynman,5250
1061,Xico,White,3750
1062,Xico,Red,5750
1063,John,Red,3750
1064,Roger,Goodman,5750
1065,Roger,White,3000
1066,Henry,Feynman,3000
1067,Roger,Cave,4500
1068,John,White,5750
1069,Mike,Goodman,5250
1070,John,Cave,3000
1071,John,Red,3000
1072,Xico,Goodman,4500
1073,Xico,Red,4500
1074,Henry,White,3000
1075,Roger,Feynman,5750
1076,Roger,Red,6750
1077,Henry,Red,4250
1078,John,White,3000
1079,Roger,Cave,6750
1080,Roger,Feynman,3000
1081,Mike,Feynman,5750
1082,Mike,Goodman,3000
1083,Henry,Red,4500
1084,Roger,Cave,5750
1085,Henry,Cave,3000
1086,Roger,Cave,4500
1087,Xico,Feynman,3750
1088,Xico,Feynman,5250
1089,Roger,Cave,6750
1090,Roger,Red,5750
1091,Roger,White,3000
1092,John,Cave,3750
1093,Henry,White,4500
1094,Henry,Cave,5250
1095,Xico,Red,3750
1096,Roger,White,5750
1097,Roger,Goodman,5250
1098,Roger,White,5250
1099,Mike,Cave,5250
1100,Henry,Feynman,4500
1101,Roger,Cave,3750
1102,John,Cave,4500
1103,Roger,Red,5750
1104,John,White,3000
1105,Roger,White,4250
1106,Roger,Cave,5750
1107,Mike,Goodman,6750
1108,Roger,Goodman,5750
1109,Roger,White,4250
1110,Mike,Goodman,6750
1111,Xico,Goodman,4250
1112,Mike,Feynman,4500
1113,Xico,Red,5250
1114,Mike,Cave,4250
1115,Mike,Red,5250
1116,Henry,Feynman,3000
1117,Xico,Goodman,5750
1118,Xico,Goodman,4250
